Point ID,Structured Coordinates:0,Structured Coordinates:1,Structured Coordinates:2,nd1p,nd2p,phisp
0,0,0,0,1.0008659362792969,1.0007039308547974,0.0
1,1,0,0,1.0030649900436401,1.0003937482833862,0.0
2,2,0,0,1.0024993419647217,0.99912428855896,0.0
3,3,0,0,1.0019471645355225,0.9991196990013123,0.0
4,4,0,0,1.0013502836227417,0.9991992712020874,0.0
5,5,0,0,1.0014042854309082,0.9989652037620544,0.0
6,6,0,0,1.0012739896774292,0.9999719262123108,0.0
7,7,0,0,1.0027430057525635,0.9998530745506287,0.0
8,8,0,0,1.0027902126312256,1.0002248287200928,0.0
9,9,0,0,1.0031518936157227,1.0012961626052856,0.0
10,10,0,0,1.0028272867202759,1.0021519660949707,0.0
11,11,0,0,1.0016815662384033,1.0011916160583496,0.0
12,12,0,0,1.001665472984314,1.000362515449524,0.0
13,13,0,0,1.0013796091079712,1.0003924369812012,0.0
14,14,0,0,1.0015177726745605,1.0012927055358887,0.0
15,15,0,0,1.001336693763733,1.0016535520553589,0.0
16,16,0,0,1.001573920249939,1.0000882148742676,0.0
17,17,0,0,1.0012308359146118,0.9997344613075256,0.0
18,18,0,0,1.0010757446289062,0.9983223080635071,0.0
19,19,0,0,1.001214861869812,0.9981281161308289,0.0
20,20,0,0,1.000870943069458,0.9991653561592102,0.0
21,21,0,0,1.0010219812393188,0.9991528987884521,0.0
22,22,0,0,1.0014147758483887,0.9990774393081665,0.0
23,23,0,0,1.0017273426055908,0.9980783462524414,0.0
24,24,0,0,1.0017170906066895,0.9983352422714233,0.0
25,25,0,0,1.0018433332443237,0.9995103478431702,0.0
26,26,0,0,1.0016894340515137,0.9991180896759033,0.0
27,27,0,0,1.0018171072006226,0.9989944696426392,0.0
28,28,0,0,1.0016974210739136,0.9990939497947693,0.0
29,29,0,0,1.00160813331604,0.9999301433563232,0.0
30,30,0,0,1.0015368461608887,0.9995537400245667,0.0
31,31,0,0,1.0004472732543945,1.000186800956726,0.0
32,32,0,0,1.0019948482513428,1.0008546113967896,0.0
33,33,0,0,1.0003637075424194,1.0018095970153809,0.0
34,34,0,0,1.0003877878189087,1.0024911165237427,0.0
35,35,0,0,1.0016186237335205,1.0032769441604614,0.0
36,36,0,0,1.000707745552063,1.0028153657913208,0.0
37,37,0,0,1.001462459564209,1.0020928382873535,0.0
38,38,0,0,1.0018223524093628,1.001369595527649,0.0
39,39,0,0,1.0016629695892334,1.0007799863815308,0.0
40,40,0,0,1.0006242990493774,0.9998884797096252,0.0
41,41,0,0,1.0005826950073242,0.9992713928222656,0.0
42,42,0,0,1.0003689527511597,1.0005130767822266,0.0
43,43,0,0,1.0007771253585815,1.0012688636779785,0.0
44,44,0,0,1.0006283521652222,1.0005923509597778,0.0
45,45,0,0,1.0004596710205078,1.0000983476638794,0.0
46,46,0,0,1.0010731220245361,0.9994257092475891,0.0
47,47,0,0,0.9999508261680603,0.9989688396453857,0.0
48,48,0,0,1.0008665323257446,0.9990150332450867,0.0
49,49,0,0,1.0013083219528198,0.9990415573120117,0.0
50,50,0,0,1.0003132820129395,0.9998876452445984,0.0
51,51,0,0,0.9998247027397156,0.9994673132896423,0.0
52,52,0,0,0.9988008141517639,0.9994634985923767,0.0
53,53,0,0,0.9993007183074951,0.9999675154685974,0.0
54,54,0,0,1.0002532005310059,1.000352144241333,0.0
55,55,0,0,0.9996068477630615,0.9999610781669617,0.0
56,56,0,0,0.9999403357505798,0.9998481273651123,0.0
57,57,0,0,0.9998510479927063,0.9999759197235107,0.0
58,58,0,0,1.0003150701522827,0.9996320605278015,0.0
59,59,0,0,0.9994781017303467,0.9987787008285522,0.0
60,60,0,0,0.9999525547027588,0.998229444026947,0.0
61,61,0,0,0.9997307062149048,0.9981586337089539,0.0
62,62,0,0,0.9995248317718506,0.9985842108726501,0.0
63,63,0,0,0.998945951461792,0.9985265731811523,0.0
64,64,0,0,0.9990589618682861,0.9983716607093811,0.0
65,65,0,0,0.9997342824935913,0.9982324838638306,0.0
66,66,0,0,0.9996528625488281,0.9992698431015015,0.0
67,67,0,0,0.9993072748184204,1.0004311800003052,0.0
68,68,0,0,0.9991962909698486,1.0012089014053345,0.0
69,69,0,0,0.9985949993133545,1.0016071796417236,0.0
70,70,0,0,0.9996673464775085,1.001175045967102,0.0
71,71,0,0,0.9986695647239685,1.0003588199615479,0.0
72,72,0,0,0.9994266033172607,1.0003352165222168,0.0
73,73,0,0,0.999613344669342,1.000747799873352,0.0
74,74,0,0,0.9994327425956726,1.0010091066360474,0.0
75,75,0,0,0.997842013835907,1.0012564659118652,0.0
76,76,0,0,0.9981517195701599,1.0018408298492432,0.0
77,77,0,0,0.9981845617294312,1.001402735710144,0.0
78,78,0,0,0.9991724491119385,1.0000431537628174,0.0
79,79,0,0,0.9992004632949829,1.0005011558532715,0.0
80,80,0,0,0.9990487694740295,1.0005968809127808,0.0
81,81,0,0,0.9988000988960266,1.000784993171692,0.0
82,82,0,0,0.9987429976463318,1.0013105869293213,0.0
83,83,0,0,0.9992390275001526,1.0018188953399658,0.0
84,84,0,0,0.9991569519042969,1.0018550157546997,0.0
85,85,0,0,0.9987367391586304,1.001247763633728,0.0
86,86,0,0,0.9991044402122498,1.0008684396743774,0.0
87,87,0,0,0.9985931515693665,1.0021908283233643,0.0
88,88,0,0,0.9987546801567078,1.0035556554794312,0.0
89,89,0,0,0.9989174008369446,1.0034562349319458,0.0
90,90,0,0,0.998758852481842,1.0023868083953857,0.0
91,91,0,0,0.9981645941734314,1.001258134841919,0.0
92,92,0,0,0.9978044033050537,1.0007978677749634,0.0
93,93,0,0,0.9985868334770203,1.001107096672058,0.0
94,94,0,0,0.9981882572174072,1.0014407634735107,0.0
95,95,0,0,0.9989292621612549,1.000813603401184,0.0
96,96,0,0,0.997916042804718,1.000349760055542,0.0
97,97,0,0,0.9973905682563782,1.0002988576889038,0.0
98,98,0,0,0.9986951351165771,1.000257134437561,0.0
99,99,0,0,0.9985414147377014,1.0001578330993652,0.0
100,100,0,0,0.9985103607177734,1.0002480745315552,0.0
101,101,0,0,0.9982499480247498,1.0003482103347778,0.0
102,102,0,0,0.9987869262695312,1.0013551712036133,0.0
103,103,0,0,0.9990248084068298,1.001049280166626,0.0
104,104,0,0,0.9982549548149109,1.0008044242858887,0.0
105,105,0,0,0.9978489279747009,1.0014965534210205,0.0
106,106,0,0,0.9981763362884521,1.0019574165344238,0.0
107,107,0,0,0.9981333017349243,1.00285804271698,0.0
108,108,0,0,0.9984252452850342,1.0032950639724731,0.0
109,109,0,0,0.997934103012085,1.002384066581726,0.0
110,110,0,0,0.9980748891830444,1.0017205476760864,0.0
111,111,0,0,0.9982016086578369,1.0016005039215088,0.0
112,112,0,0,0.9981769323348999,1.002118468284607,0.0
113,113,0,0,0.9978503584861755,1.0029513835906982,0.0
114,114,0,0,0.9979234933853149,1.0025410652160645,0.0
115,115,0,0,0.9983512759208679,1.000716209411621,0.0
116,116,0,0,0.9971370100975037,1.0011332035064697,0.0
117,117,0,0,0.9973759055137634,1.0023393630981445,0.0
118,118,0,0,0.998053789138794,1.0019537210464478,0.0
119,119,0,0,0.9988040328025818,1.0015580654144287,0.0
120,120,0,0,0.9995763897895813,1.002665400505066,0.0
121,121,0,0,0.9987383484840393,1.0031312704086304,0.0
122,122,0,0,0.9974716305732727,1.002575159072876,0.0
123,123,0,0,0.9986324906349182,1.0019259452819824,0.0
