Point ID,Structured Coordinates:0,Structured Coordinates:1,Structured Coordinates:2,nd1p,nd2p,phisp
0,0,0,0,1.0003020763397217,0.9980317950248718,-0.0
1,1,0,0,0.998233437538147,0.99986332654953,-0.0
2,2,0,0,0.9974933862686157,1.012433648109436,-0.0
3,3,0,0,0.9977561235427856,1.0245018005371094,-0.0
4,4,0,0,0.9925705790519714,1.029213786125183,-0.0
5,5,0,0,0.9972770810127258,1.0206382274627686,-0.0
6,6,0,0,1.0010535717010498,1.011627435684204,-0.0
7,7,0,0,1.001831293106079,1.0054876804351807,-0.0
8,8,0,0,1.0008302927017212,1.0025100708007812,-0.0
9,9,0,0,1.0008835792541504,1.0016288757324219,-0.0
10,10,0,0,0.9998197555541992,1.00126051902771,-0.0
11,11,0,0,0.9957496523857117,1.0106956958770752,-0.0
12,12,0,0,1.0011296272277832,1.022924542427063,-0.0
13,13,0,0,0.9957076907157898,1.018040418624878,-0.0
14,14,0,0,0.9998775720596313,1.0137723684310913,-0.0
15,15,0,0,1.0003693103790283,1.0111258029937744,-0.0
16,16,0,0,1.0010989904403687,1.01319420337677,-0.0
17,17,0,0,1.0079736709594727,1.0113883018493652,-0.0
18,18,0,0,0.9969111680984497,1.0156192779541016,-0.0
19,19,0,0,0.9967605471611023,0.9956429600715637,-0.0
20,20,0,0,0.991791844367981,0.9994460940361023,-0.0
21,21,0,0,0.9910022616386414,0.9984184503555298,-0.0
22,22,0,0,0.9990557432174683,0.9864441156387329,-0.0
23,23,0,0,0.9998090863227844,0.9901059865951538,-0.0
24,24,0,0,0.9968110918998718,0.9968844652175903,-0.0
25,25,0,0,1.0014641284942627,0.9927879571914673,-0.0
26,26,0,0,1.0040069818496704,0.9832782745361328,-0.0
27,27,0,0,0.9995633959770203,0.996075451374054,-0.0
28,28,0,0,0.9938409924507141,1.014296531677246,-0.0
29,29,0,0,0.9944201707839966,1.0256497859954834,-0.0
30,30,0,0,0.9956344366073608,1.023511290550232,-0.0
31,31,0,0,0.9963397979736328,1.006683111190796,-0.0
32,32,0,0,0.9966198801994324,1.0058821439743042,-0.0
33,33,0,0,0.9998313784599304,1.010469913482666,-0.0
34,34,0,0,1.0027673244476318,1.0189387798309326,-0.0
35,35,0,0,1.0018905401229858,1.015610933303833,-0.0
36,36,0,0,0.9994685053825378,1.01310133934021,-0.0
37,37,0,0,0.9951879382133484,1.0084941387176514,-0.0
38,38,0,0,1.000457763671875,1.0095499753952026,-0.0
39,39,0,0,1.0031535625457764,1.0236172676086426,-0.0
