Point ID,Structured Coordinates:0,Structured Coordinates:1,Structured Coordinates:2,nd1p,nd2p,phisp
0,0,0,0,0.9927594065666199,0.9596600532531738,-0.0
1,1,0,0,1.000960350036621,0.9756779670715332,-0.0
2,2,0,0,0.9987046122550964,1.0009520053863525,-0.0
3,3,0,0,0.9994928240776062,0.9814729690551758,-0.0
4,4,0,0,1.0031312704086304,0.9733971357345581,-0.0
5,5,0,0,1.0005327463150024,0.9823573231697083,-0.0
6,6,0,0,0.9980008006095886,1.0092217922210693,-0.0
7,7,0,0,1.0014623403549194,1.0055418014526367,-0.0
8,8,0,0,1.002280831336975,1.00508451461792,-0.0
9,9,0,0,0.9985256195068359,0.991912841796875,-0.0
10,10,0,0,0.9960257411003113,0.9885033369064331,-0.0
11,11,0,0,1.0048710107803345,1.0009396076202393,-0.0
12,12,0,0,1.0018956661224365,0.9924591183662415,-0.0
13,13,0,0,1.00260329246521,0.9883812069892883,-0.0
14,14,0,0,1.000048041343689,1.0229564905166626,-0.0
15,15,0,0,1.0003770589828491,1.018815040588379,-0.0
16,16,0,0,1.0058743953704834,1.0182533264160156,-0.0
17,17,0,0,1.0012099742889404,1.0461452007293701,-0.0
18,18,0,0,1.0088286399841309,1.0409345626831055,-0.0
19,19,0,0,1.005454421043396,1.0400755405426025,-0.0
20,20,0,0,1.005097508430481,1.0289669036865234,-0.0
21,21,0,0,1.0035617351531982,0.9777907133102417,-0.0
22,22,0,0,1.0066723823547363,0.9698972702026367,-0.0
23,23,0,0,1.0065068006515503,0.9986629486083984,-0.0
24,24,0,0,1.00322687625885,0.9840606451034546,-0.0
25,25,0,0,0.9998380541801453,0.9656426310539246,-0.0
26,26,0,0,1.0019400119781494,0.9631559252738953,-0.0
27,27,0,0,1.0028820037841797,0.9983028173446655,-0.0
28,28,0,0,0.9965141415596008,1.0202014446258545,-0.0
29,29,0,0,1.0026702880859375,1.0244159698486328,-0.0
30,30,0,0,1.0002861022949219,1.0089540481567383,-0.0
31,31,0,0,1.0035234689712524,1.003873586654663,-0.0
32,32,0,0,0.9984560012817383,1.0323059558868408,-0.0
33,33,0,0,1.000326156616211,1.020306944847107,-0.0
34,34,0,0,0.9966559410095215,1.0117213726043701,-0.0
35,35,0,0,0.9995441436767578,0.9957752227783203,-0.0
36,36,0,0,0.9954063296318054,1.0053317546844482,-0.0
37,37,0,0,0.9981565475463867,0.9823359251022339,-0.0
38,38,0,0,1.0060365200042725,0.9958821535110474,-0.0
39,39,0,0,1.0054869651794434,1.0012333393096924,-0.0
40,40,0,0,1.003415822982788,1.006874442100525,-0.0
41,41,0,0,1.0059585571289062,1.0120412111282349,-0.0
42,42,0,0,1.0038400888442993,1.012260913848877,-0.0
43,43,0,0,1.0030434131622314,0.9804198145866394,-0.0
44,44,0,0,1.00035560131073,0.9935399293899536,-0.0
45,45,0,0,1.0057586431503296,0.9965267181396484,-0.0
46,46,0,0,1.0093871355056763,1.0141191482543945,-0.0
47,47,0,0,1.0043258666992188,1.0062410831451416,-0.0
48,48,0,0,1.0021321773529053,0.9999337196350098,-0.0
49,49,0,0,0.9969762563705444,0.9872786402702332,-0.0
50,50,0,0,1.0024733543395996,0.9744098782539368,-0.0
51,51,0,0,1.0040287971496582,0.9803042411804199,-0.0
